"300","LH","0402","20100712","666.00","EUR","747-400",385,371,"303010.02",31,30,21,20
"300","LH","0402","20100719","666.00","EUR","747-400",385,373,"305520.84",31,31,21,21
"300","LH","0402","20100726","666.00","EUR","747-400",385,367,"298574.46",31,30,21,19
"300","LH","0402","20100802","666.00","EUR","747-400",385,372,"309283.74",31,31,21,21
"300","LH","0402","20100809","666.00","EUR","747-400",385,372,"301871.16",31,29,21,20
"300","LH","0402","20100816","666.00","EUR","747-400",385,362,"295124.58",31,29,21,20
"300","LH","0402","20100823","666.00","EUR","747-400",385,374,"304335.36",31,29,21,21
"300","LH","0402","20100830","666.00","EUR","747-400",385,371,"302011.02",31,30,21,20
"300","LH","0402","20100906","666.00","EUR","747-400",385,372,"304848.18",31,30,21,20
"300","LH","0402","20100913","666.00","EUR","747-400",385,362,"294525.18",31,29,21,19
"300","LH","0402","20100920","666.00","EUR","747-400",385,374,"305520.84",31,29,21,21
"300","LH","0402","20100927","666.00","EUR","747-400",385,363,"295877.16",31,29,21,20
"300","LH","0402","20101004","666.00","EUR","747-400",385,373,"306693.00",31,31,21,21
"300","LH","0402","20101011","666.00","EUR","747-400",385,366,"301051.98",31,30,21,20
"300","LH","0402","20101018","666.00","EUR","747-400",385,373,"306839.52",31,31,21,21
"300","LH","0402","20101025","666.00","EUR","747-400",385,374,"301205.16",31,29,21,19
"300","LH","0402","20101101","666.00","EUR","747-400",385,372,"303962.40",31,31,21,20
"300","LH","0402","20101108","666.00","EUR","747-400",385,370,"302683.68",31,29,21,21
"300","LH","0402","20101115","666.00","EUR","747-400",385,371,"302716.98",31,30,21,20
"300","LH","0402","20101122","666.00","EUR","747-400",385,375,"303269.76",31,31,21,19
"300","LH","0402","20101129","666.00","EUR","747-400",385,363,"295510.86",31,29,21,20
"300","LH","0402","20101206","666.00","EUR","747-400",385,367,"298381.32",31,28,21,21
"300","LH","0402","20101213","666.00","EUR","747-400",385,370,"302031.00",31,30,21,21
"300","LH","0402","20101220","666.00","EUR","747-400",385,372,"306626.40",31,31,21,21
"300","LH","0402","20101227","666.00","EUR","747-400",385,372,"302517.18",31,30,21,20
"300","LH","0402","20110103","666.00","EUR","747-400",385,372,"305374.32",31,31,21,21
"300","LH","0402","20110110","666.00","EUR","747-400",385,374,"302137.56",31,29,21,20
"300","LH","0402","20110117","666.00","EUR","747-400",385,371,"304808.22",31,30,21,21
"300","LH","0402","20110124","666.00","EUR","747-400",385,373,"304688.34",31,30,21,21
"300","LH","0402","20110131","666.00","EUR","747-400",385,372,"303696.00",31,30,21,20
"300","SQ","0067","20101025","329.31","SGD","747-400",385,385,"154778.06",31,31,21,21
"300","LH","0402","20110207","666.00","EUR","747-400",385,370,"303183.18",31,29,21,21
