"300","00000055","Sunshine Travel","134 West Street","","54323","Rochester","US","NY","+1 901-632-5620","http://www.sunshine-travel.sap","E","USD"
"300","00000061","Fly High","Berliner Allee 11","","40880","Duesseldorf","DE","05","+49 2102 69555","http://www.flyhigh.sap","D","EUR"
"300","00000087","Happy Hopping","Calvinstr. 36","","13467","Berlin","DE","11","+49 30-8853-0","http://www.haphop.sap","D","EUR"
"300","00000093","Pink Panther","Auf der Schanz 54","","65936","Frankfurt","DE","06","+49 69-467653-0","http://www.pinkpanther.sap","D","EUR"
"300","00000100","Your Choice","Gustav-Jung-Str. 425","","90455","Nuernberg","DE","09","+49 9256-4548-0","http://www.yc.sap","D","EUR"
"300","00000101","Bella Italia","Via Marconi 123","","00139","Roma","IT","","+39 6 893546721","http://www.tours.it/Adventure/","I","EUR"
"300","00000102","Hot Socks Travel","224 Balnagask Rd","15 08 69","8053","Sydney","AU","NSW","+61 2 2004 5000","http://www.hst.co.au","E","AUD"
"300","00000103","Burns Nuclear","14 Science Park Drive","","118228","Singapore","SG","","+65 777-5566","http://www.burns-burns-burns.sg","E","SGD"
"300","00000104","Honauer Reisen GmbH","Baumgarten 8","","4212","Neumarkt","AT","","+43 7941 8903","http://www.honauer.at","D","EUR"
"300","00000105","Travel from Walldorf","Altonaer Str. 24","","10557","Berlin","DE","11","+49 30-622860","http://www.travel-from-walldorf","D","EUR"
"300","00000106","Voyager Enterprises","Gustavslundsvaegen 151","","70563","Stockholm","SE","","+46 8/ 587 70000","http://www.starfleet.ufp","V","SEK"
"300","00000107","Ben McCloskey Ltd.","74 Court Oak Rd","","B17 9TN","Birmingham","GB","","+44 121 365-2251","http://www.ben-mcCloskey.co.uk","E","GBP"
"300","00000108","Pillepalle Trips","Gorki Park 4","","8008","Zuerich","CH","","+41 1 345-5321","http://www.pi-pa-tri.sap","D","CHF"
"300","00000109","Kangeroos","Lancaster drive 435","","20001","London","GB","LO","+44 171-2937638","http://www.hopp.sap","E","GBP"
"300","00000110","Bavarian Castle","Pilnizerstr. 241","","01069","Dresden","DE","","+49 98-32832732","http://www.neu.schwanstein.sap","D","EUR"
"300","00000111","Ali's Bazar","45\, Mac Arthur Boulevard","","19113","Boston","US","MA","+1 508-692-5200","http://www.ali.sap","E","USD"
"300","00000112","Super Agency","50 Cranworth St","","G12 8AG","Glasgow","GB","","+44 141 711-5643","http://www.super.sap","E","GBP"
"300","00000113","Wang Chong","Gagarine Park","","150021","Moscow","RU","","+7 3287-213321","http://www.wang.chong.sap","E","USD"
"300","00000114","Around the World","An der Breiten Wiese 122","","30625","Hannover","DE","03","+49 511-347589-0","http://www.atw.sap","D","EUR"
"300","00000115","No Return","Wahnheider Str. 57","","51105","Koeln","DE","05","+49 221-5689-100","http://www.bye-bye.sap","D","EUR"
